Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
"Drinking Water Instrumentation Data Integrity Checklists Version 1.0, EPA 815-B-22-002 (pdf)",2022-01-01,2025-07-14,OW-OGWDW-3048,Area-Wide Optimization Program,This document presents a compilation of water treatment plant instrumentation specifications as a resource for primacy agency field inspectors and water system operators.,https://www.epa.gov/system/files/documents/2022-02/drinking-water-instrumentation-data-integrity-checklists-815-b-22-002.pdf
Voluntary School and Child Care Lead Testing and Remediation Grant Program FY21 Allotment Memo (pdf),2021-06-14,2025-07-16,OW-OGWDW-3080,Drinking Water Grants,Memo to grantees on distribution/allotment of grant funds for the fiscal year(s) noted,https://www.epa.gov/system/files/documents/2022-02/fy2021_lead_testing_allotments_wiin_2107.pdf
SUDC Allotment Memo  FY2021 (pdf),2022-01-01,2025-07-16,OW-OGWDW-3065,Drinking Water Grants,Memo to grantees on distribution/allotment of grant funds for the fiscal year(s) noted,https://www.epa.gov/system/files/documents/2022-02/fy21_sudc-rollover-funds-allotment-memo_jan2022.pdf
Reducing Lead in Drinking Water Grant Program FY22 Notice of Funding Opportunity (pdf),2022-10-11,2025-07-17,OW-OGWDW-3074,Drinking Water Grants,"Provides information on the Reducing Lead in Drinking Water Grant Program, including how to apply, eligible applicants, and eligible activities.",https://www.epa.gov/system/files/documents/2022-02/reductionleadrfa_2022_508.pdf
UCMR 5 Program Overview Fact Sheet (pdf),12/00/2021,2025-07-28,OW-OGWDW-3206,UCMR,"Fact sheet providing overview and guidance on the final ""Revisions to the Unregulated Contaminant Monitoring Rule,"" signed by Administrator Michael Regan on December 17, 2021.",https://www.epa.gov/system/files/documents/2022-02/ucmr5-factsheet.pdf
Wildfire Incident Action Checklist (PDF),2022-03-02,2025-07-18,OW-OGWDW-3143,Emergency Response,Provides information on preparedness and response actions water utilities can take in a wildfire incident.,https://www.epa.gov/system/files/documents/2022-03/220218-incident-action-checklist-wildfires.pdf
"Memorandum Implementation of the Clean Water and Drinking Water State Revolving Fund Provisions
of the Bipartisan Infrastructure Law (pdf)",2022-03-08,2025-07-16,OW-OGWDW-3094,DWSRF (and CWSRF),"Implementation memo for the IIJA SRF funds, including FY23 allotments",https://www.epa.gov/system/files/documents/2022-03/combined_srf-implementation-memo_final_03.2022.pdf
Memorandum: Implementation of the Clean Water and Drinking Water State Revolving Fund Provisions of the Infrastructure Investment and Jobs Act (pdf),2022-03-08,2025-07-28,OW-OWM-3198,"CWSRF, DWSRF",Memo to state to implement the CWSRF and DWSRF program IIJA funds,https://www.epa.gov/system/files/documents/2022-03/combined_srf-implementation-memo_final_03.2022.pdf
Presentation: Bipartisan Infrastructure Law SRF Memorandum Webinar (pdf),3/00/2022,2025-07-28,OW-OWM-3236,SRF,"EPA developed this presentation as a community-focused, high-level overview of the Clean Water and Drinking Water State Revolving Funds (SRFs) and eligibilities related to the Bipartisan Infrastructure Law (BIL) of 2021.",https://www.epa.gov/system/files/documents/2022-03/national-webinar_srf-bil-presentation.finalrev.pdf
Protecting Water Quality Through Water Age Management (pdf),4/00/2022,2025-07-28,OW-OGWDW-3207,PWS,"This fact sheet is part of EPA’s Distribution System Toolbox developed to summarize best management practices that public water systems (PWSs), particularly small systems, can use to maintain distribution system water quality and protect public health.",https://www.epa.gov/system/files/documents/2022-04/ds-toolbox-fact-sheets_water-age-mgt_final-508_revised.pdf
FY 2022 DWSRF Base Allotment Availability (pdf),2022-05-12,2025-07-17,OW-OGWDW-3105,DWSRF,Allotment memo for FY22 base program,https://www.epa.gov/system/files/documents/2022-05/FY%202022%20DWSRF%20Base%20Allotment%20Availability.pdf
Gulf Hypoxia Program FY 22 Guidance for State Cooperative Agreements  (pdf),2022-06-09,2025-07-17,OW-OWOW-3169,Gulf Hypoxia Program,Provides information on GHP priorities and guidelines on how the EPA will distribute funds as cooperative agreements to the HTF member states.,https://www.epa.gov/system/files/documents/2022-06/BIL%20GHP%20State%20Guidance%20FY%2022%20-%20June2022_Final_signed.pdf
Interim Implementation Guidelines for Clean Water Act Section 604(b) Water Quality Management Planning Grants for Fiscal Years 2022 through 2026 (pdf),2021-11-15,2025-07-17,OW-OWOW-3162,604(b),"Interim implementation guidelines for states and territories, which provide information on how EPA will administer Section 604(b) grants for Fiscal Years 2022 - 2026.",https://www.epa.gov/system/files/documents/2022-06/Final_604%28b%29%20Water%20Quality%20Managment%20Planning%20Grants%20Interim%20Implementation%20Guidelines%20signed%206.29.2022.pdf
Water Sector Guide to Telecommunications During Power Outages (pdf),2022-04-01,2025-07-18,OW-OGWDW-3141,Energy Sector Interdependency,"Helps utilities diversify their telecommunications plans and equipment to help ensure they can communicate with employees, response partners, and customers during a prolonged power outage.",https://www.epa.gov/system/files/documents/2022-06/TelecomGuide_508c.pdf 
Pandemic Resilience Good Practices Guide (pdf),2022-07-19,2025-07-18,OW-OGWDW-3137,Pandemic Preparedness,Provides examples and resources to help the water sector respond to pandemic emergencies and building long-term resilience.,https://www.epa.gov/system/files/documents/2022-07/pandemic-resilience-guide-071522-508.pdf
Bipartisan Infrastructure Law Clean Water State Revolving Fund Emerging Contaminants Supplemental Appropriation Frequently Asked Questions  (pdf),2022-08-01,2025-07-28,OW-OWM-3197,CWSRF,Frequently asked questions for CWSRF funding from the Bipartisan Infrastructure Law,https://www.epa.gov/system/files/documents/2022-08/CWSRF%20EC%20FAQs_FINAL.pdf
"Final Section 106 Supplemental Grant Guidance to States, Interstate Agencies, and Tribes Fiscal Years 2023 and 2024 (pdf)",2022-08-29,2025-07-29,OW-OWM-3195,Section 106 grants,"This guidance supplements the FY 2023 and 2024 National Water Program Guidance (NWPG) and provides additional guidance for state, interstate and eligible tribal recipients of Section 106 grants for Water Pollution Control Programs.",https://www.epa.gov/system/files/documents/2022-08/Final%20Section%20106%20Supplemental%20Grant%20Guidance%20to%20States-Tribes%20FY23-FY24.pdf
"Guidance for Developing
and Maintaining a
Service Line Inventory (pdf)",2022-08-04,2025-07-14,OW-OGWDW-3034,Lead,Guidance to support water systems with their efforts to develop service line inventories and to provide states with information for oversight and reporting to EPA to adhere to LCRR requirements.,https://www.epa.gov/system/files/documents/2022-08/Inventory%20Guidance_August%202022_508%20compliant.pdf
Implementation of the District of Columbia and the U.S. Territories Clean Water and Drinking Water Allocations of the Bipartisan Infrastructure Law (pdf),2022-08-23,2025-07-28,OW-OGWDW-3208,State and Tribal Assistance Grants,"This memorandum provides information and guidelines on how EPA will award and administer allocations appropriated to the State and Tribal Assistance Grants (STAG) account in BIL to DC and the Territories, including American Samoa, the Commonwealth of the Northern Mariana Islands (CNMI), Guam, and the U.S. Virgin Islands (USVI). The funds are awarded and administered by EPA Regions 2, 3, and 9 with oversight by EPA Headquarters. The BIL funding is subject to all applicable requirements of the existing Clean Water Act (CWA), Safe Drinking Water Act (SDWA), Omnibus Territories Act (OTA), and federal grant regulations.",https://www.epa.gov/system/files/documents/2022-08/Territories%20BIL%20Implementation%20Memo_Aug2022_signed.pdf
Description of Updates Made to the Lake Criterion Models (pdf),2022-09-08,2025-07-28,OW-OWOW-3242,national nutrient criterion models,"The 2017 National Lakes Assessment data were added to the data used to estimate national nutrient criterion models. The larger data set provided an opportunity to explore the effects of variables that might modify stressor-response relationships. Based on these analyses, minor changes were implemented in each of the criterion models.",https://www.epa.gov/system/files/documents/2022-09/description-updates-lake-criterion-models.pdf
2022-2032 Vision for the Clean Water Act Section 303(d) Program (pdf),2022-09-15,2025-07-28,OW-OWOW-3241,303(d),"Announces 2022 Vision Program and advises on implementation. ""Planning and prioritization should guide the location and timing of TMDL development, the use of other restoration or protection approaches, and the allocation of resources. Each EPA Region should work closely with your states, territories, and tribes on setting priorities in such settings as Performance Partnership Agreements/Grants. EPA will continue to provide tools, data/information, and technical assistance to states, territories, and tribes on prioritization and other goals of the 2022 Vision. EPA and states, territories, and tribes will also utilize program metrics to
promote accountability and illustrate program progress.",https://www.epa.gov/system/files/documents/2022-09/Final%20Cover%20Memo%20-%20CWA%20Section%20303d%20Vision%20-%20September2022.pdf
DWSRF Disadvantaged Community Definitions: A Reference for States (pdf),2022-10-01,2025-07-16,OW-OGWDW-3099,DWSRF,"Handbook including information about indicators currently used by states, as well as the methodology for how states have historically distributed their additional subsidy. A resource for State DWSRF programs ",https://www.epa.gov/system/files/documents/2022-10/DWSRF%20DAC%20Definitions%20Report_October%202022%20Updates_FINAL_508.pdf 
RRA and ERP Primer for Very Small Drinking Water and Wastewater Systems (pdf),2022-10-01,2025-07-18,OW-OGWDW-3125,SDWA 1433/AWIA 2013,"Guidance related to SDWA section 1433(e), which directed EPA to ""provide guidance and technical assistance to CWSs serving a population of less than 3,301"" on how to develop RRAs and ERPs. ",https://www.epa.gov/system/files/documents/2022-10/RRA%20and%20ERP%20Primer%20for%20Very%20Small%20Drinking%20Water%20and%20Wastewater_National_10-4-2022%20508_1.pdf
BABA Act Implementation Procedures for EPA OW Federal Financial Assistance Programs (pdf),2022-11-03,2025-07-16,OW-OGWDW-3097,DWSRF (and other OW funding programs),Implementation memo for the BABA domestic preference requirements for OW funding programs,https://www.epa.gov/system/files/documents/2022-11/OW-BABA-Implementation-Procedures-Final-November-2022.pdf
Training and Technical Assistance for Small Systems Funding Request for Applications FY 22 (pdf),2022-12-12,2025-07-16,OW-OGWDW-3084,Drinking Water Grants,"Provides information on the Training and Technical Assistance for Small Systems Grant Program, including how to apply, eligible applicants, and eligible activities.",https://www.epa.gov/system/files/documents/2022-12/FY22%20Training%20and%20Technical%20Assistance%20508.pdf
Gulf Hypoxia Program FY 23 Implementation Memorandum for Tribal Cooperative Agreements  (pdf),2022-12-02,2025-07-17,OW-OWOW-3168,Gulf Hypoxia Program,Provides information on GHP priorities and guidelines on how the EPA will distribute funds as cooperative agreements to eligible Tribes.,https://www.epa.gov/system/files/documents/2022-12/Gulf%20Hypoxia%20Program%20FY%2023%20Tribal%20Implementation%20Memo.pdf
Addressing PFAS Discharges in NPDES Permits and Through the Pretreatment Program and Monitoring Programs (pdf),2022-12-05,2025-07-16,OW-OWM-2982,NPDES ,"This memo explains that EPA is addressing PFAS discharges through a multi-faceted approach involving NPDES permits, the pretreatment program, and monitoring programs. This includes utilizing existing Clean Water Act authorities to reduce PFAS at the source and obtain comprehensive information about PFAS discharges.",https://www.epa.gov/system/files/documents/2022-12/NPDES_PFAS_State%20Memo_December_2022.pdf
Applicability of the Safe Drinking Water Act to Point of Use Treatment Devices in Public Water Supplies (WSG 217) (pdf),2022-12-15,2025-07-16,OW-OGWDW-3061,Applicability of POUs in PWS,This establishes a new Water Supply Guidance (WSG) memo that clarifies the applicability of the SDWA to Point of Use (POU) treatment devices used in public water systems. ,https://www.epa.gov/system/files/documents/2022-12/POU%20memo%20WSG%20217.pdf
Waters that Qualify as “Traditional Navigable Waters” Under Section (a)(1) of the Agencies’ Regulations (pdf),2022-12-30,2025-07-24,OW-OWOW-3185,WOTUS,"This document (formerly known as Appendix D: Legal Definition of Traditional Navigable Waters) continues to provide guidance for determining whether a water is jurisdictional under paragraph (a)(1) of the agencies’ regulations defining “waters of the United States” as a “traditional navigable water” for purposes of the CWA and the agencies’ implementing regulations. (Posted December 30, 2022 - however, there have been no substantive changes to the guidance since it was issued on May 30, 2007.)",https://www.epa.gov/system/files/documents/2022-12/Water%20that%20Qualify%20as%20TNWs_Final_0.pdf
"Memorandum to the Field Concerning Issues Related to Implementation of Section 404 of the Clean Water Act (CWA) and the Food Security Act of 1985, as Amended (FSA) (“2022 Ag Memo”) (pdf)",2022-12-16,2025-07-24,OW-OWOW-3186,WOTUS,"The purpose of this memo is to minimize duplication of efforts pursuant to the CWA section 404 program and the FSA Wetland Conservation Provisions and to facilitate the agencies’ efforts to ensure that federal wetland programs, including those that identify prior converted cropland, are administered in an efficient and effective manner. The 2022 Ag Memo reflects updated policies from the “Revised Definition of ‘Waters of the United States’” rule. The 2022 Ag Memo rescinds the 2020 Ag Memo.",https://www.epa.gov/system/files/documents/2022-12/Waters%20of%20the%20United%20States_Agricultural%20Memorandum.pdf
Clean Water Act Financial Capability Assessment Guidance (2024 Revision)  (pdf),2023-03-01,2025-07-28,OW-OWM-3243,FCA,"The FCA Guidance, intitally released in Feburary 2023 and updated in March 2024, replaces the 1997 Combined Sewer Overflows—Guidance for Financial Capability
Assessment and Schedule Development to evaluate a community’s capability to fund CWA control
measures in both the permitting and enforcement context. The FCA Guidance also supplements the
2014 FCA Framework for Municipal Clean Water Act Requirements and the public sector sections of
1995 Interim Economic Guidance for Water Quality Standards to assist states and authorized tribes in
assessing the degree of economic and social impact of potential WQS decisions.",https://www.epa.gov/system/files/documents/2023-01/cwa-financial-capability-assessment-guidance.pdf
"Preamble to the 2023 Rule ""Revised Definition of 'Waters of the United States'"" (88FR 3004-3142) (pdf)",2023-01-18,2025-07-24,OW-OWOW-3187,WOTUS,"Because the Supreme Court in Sackett adopted the Rapanos plurality standard and the 2023 rule preamble discussed the Rapanos plurality standard, the implementation guidance and tools in the 2023 rule preamble that address the regulatory text that was not amended by the conforming rule, including the preamble relevant to the Rapanos plurality standard incorporated in paragraphs (a)(3), (4), and (5) of the amended 2023 rule generally remain relevant to implementing the amended 2023 rule.  However, implementation of continuous surface connection is informed by the 2025 Continuous Surface Connection Guidance.",https://www.epa.gov/system/files/documents/2023-01/Revised%20Definition%20of%20Waters%20of%20the%20United%20States%20FRN%20January%202023.pdf
Cybersecurity Incident Reporting Fact Sheet (pdf),2023-02-27,2025-07-18,OW-OGWDW-3131,Cybersecurity,Outlines the process for reporting a cyber incident to the Federal Government.,https://www.epa.gov/system/files/documents/2023-02/230202-CyberIncidentReportingProcess_21118.pdf 
Emerging Contaminants in Small or Disadvantaged Communities (EC-SDC) Grant Program Implementation Document FY22/FY23 (pdf),2025-02-23,2025-07-16,OW-OGWDW-3068,Drinking Water Grants,"Provides information on the EC-SDC Grant Program, including how to apply, eligible applicants, and eligible activities.",https://www.epa.gov/system/files/documents/2023-02/EC%20Grant%20implementation%20manual_February%202023_final_508_0.pdf
EC-SDC Allotment Memo FY22/FY23 (pdf),2023-02-13,2025-07-16,OW-OGWDW-3070,Drinking Water Grants,Memo to grantees on distribution/allotment of grant funds for the fiscal year(s) noted,https://www.epa.gov/system/files/documents/2023-02/FY22_FY23_Combined_BIL_EC_Allotments%20Memo%20to%20WDDs_February%202023_signed.pdf
State Emergency Drinking Water Supply Plan Guidance (pdf),2023-04-01,2025-07-18,OW-OGWDW-3138,Emergency Drinking Water Supply ,"Guidance to help state primacy agencies develop an Emergency Drinking Water Supply Plan and comply with 40 CFR 142, Subpart B.",https://www.epa.gov/system/files/documents/2023-04/StateEDWS_Guidance_508c.pdf
Supplemental Q&A for BABA Act Implementation Procedures for OW Federal Financial Assistance Programs (pdf),2023-05-01,2025-07-16,OW-OGWDW-3098,DWSRF (and other OW funding programs),Additional Q&As based on inquiries and new topics brought to EPA from stakeholders,https://www.epa.gov/system/files/documents/2023-05/BABA-OW-Supp-FAQ-May-2023.pdf 
FY 22 Community Grants Implementation Guidance (pdf),2022-10-19,2025-07-28,OW-OWM-3202,Community Grants,Implementation Guidance for Congressionally Directed Community Grants,https://www.epa.gov/system/files/documents/2023-05/FY22-Community-Grants-Program-Guidance.pdf
FY 23 Community Grants Implementation Guidance (pdf),2023-04-11,2025-07-28,OW-OWM-3203,Community Grants,Implementation Guidance for Congressionally Directed Community Grants,https://www.epa.gov/system/files/documents/2023-05/FY23-Community-Grants-Final%20Implementation-Guidance.pdf
Guidance for Vessel Sewage No-Discharge Zone Applications (Clean Water Act Section 312(f)) (pdf),2023-05-01,2025-07-18,OW-OWOW-3173,312,The purpose of the “Guidance for Vessel Sewage No-Discharge Zone Applications (Clean Water Act Section 312(f))” is to assist states in developing applications for vessel sewage no-discharge zones under Clean Water Act Section 312(f).,https://www.epa.gov/system/files/documents/2023-05/Guidance%20for%20Vessel%20Sewage%20No-Discharge%20Zone%20Applications%20%28Clean%20Water%20Act%20Section%20312%28f%29%29.pdf
Power Resilience Guide (pdf),2015-12-01,2025-07-18,OW-OGWDW-3139,Energy Sector Interdependency,Provides utilities with information and strategies for strengthening relationships with their electric providers and increasing their resilience to power outages. Last updated in March 2023. ,https://www.epa.gov/system/files/documents/2023-05/PowerResilienceGuide_2023_508c.pdf 
Gulf Hypoxia Program FY 23 Implementation Memorandum for Sub-Basin Committee and Land Grant University Consortium Cooperative Agreements (pdf),2023-05-31,2025-07-17,OW-OWOW-3167,Gulf Hypoxia Program,Provides information on GHP priorities and guidelines on how the EPA will distribute funds as cooperative agreements to  HTF partner organizations.,https://www.epa.gov/system/files/documents/2023-05/Signed%20Memo%20BIL%20GHP%20IM%20SBC%20and%20LGU_May%202023_508.pdf
Protocol for the Evaluation of Alternate Test Procedures for Organic and Inorganic Analytes in Drinking Water  (pdf),2023-07-05,2025-07-15,OW-OGWDW-3058,Drinking Water Methods,Protocol outlining the requirements for submission of new or modified organic and inorganic analytical methods to the Drinking Water Alternate Test Procedure Program for regulated drinking water contaminants,https://www.epa.gov/system/files/documents/2023-06/atp-org-inorg-protocol.pdf 
Protocol for the Evaluation of Alternate Test Procedures for Analyzing Radioactive Contaminants in Drinking Water (pdf),2023-07-05,2025-07-15,OW-OGWDW-3059,Drinking Water Methods,Protocol outlining the requirements for submission of new or modified oradiochemical analytical methods to the Drinking Water Alternate Test Procedure Program for regulated drinking water contaminants,https://www.epa.gov/system/files/documents/2023-06/atp-rad-protocol.pdf 
Regional Allocation Formulas for Non-Competitive Tribal Drinking Water Infrastructure Grants: An Amendment to the Drinking Water Infrastructure Grants – Tribal Set-Aside Program Revised Guidelines  (pdf),2023-06-28,2025-07-16,OW-OGWDW-3091,Tribal Drinking Water Grants,Regional Allocation Formulas for Non-Competitive Tribal Drinking Water Infrastructure Grants: An Amendment to the Drinking Water Infrastructure Grants – Tribal Set-Aside Program Revised Guidelines ,https://www.epa.gov/system/files/documents/2023-06/DWIG-TSA%20Amendment%20With%20Formulas_Draft_CLEAN_6.23.2023.pdf
Emerging Contaminants in Small or Disadvantaged Communities (EC-SDC) Tribal Grant Program Implementation Document (pdf),2023-06-01,2025-07-16,OW-OGWDW-3086,Tribal Drinking Water Grants,Implementation manual for the EC-SDC Tribal grant program ,https://www.epa.gov/system/files/documents/2023-06/EC-SDC%20-%20Tribal%20Implementation%20Document_Final%20508%20compliant.pdf
Fact Sheet for Developing and Maintaining a Service Line Inventory (pdf),6/00/2023,2025-07-28,OW-OGWDW-3210,LCRR,"EPA's Fact Sheet for Developing and Maintaining a Service Line Inventory can help water systems quickly identify the key 2021 LCRR initial inventory requirements, including inventory elements, planning, records review , investigations, public accessibility, and information for non-lead systems.",https://www.epa.gov/system/files/documents/2023-06/EPA-Factsheet-Combined-06072023%20508-final.pdf
Developing and Maintaining a Service Line Inventory: Small Entity Compliance Guide (pdf),2023-06-28,2025-07-17,OW-OGWDW-3035,Lead,"This Small Entity Compliance Guide supports water systems, particularly small water systems, in complying with the Lead and Copper Rule Revisions (LCRR) initial inventory requirements. ",https://www.epa.gov/system/files/documents/2023-06/Final%20Small%20System%20Entity%20Inventory%20Guide_508.pdf
FY22 Tribal Funding Memo and IIJA Funding Implementation Memo (pdf),2022-05-27,2025-07-16,OW-OGWDW-3087,Tribal Drinking Water Grants,FY 22 Allotment memo and implementation memo for Tribal drinking water infrastructure funding programs,https://www.epa.gov/system/files/documents/2023-06/fy-2022-final-tribal-set-asides-memo.pdf
FY23 Tribal Funding Memo (pdf),2023-06-28,2025-07-16,OW-OGWDW-3088,Tribal Drinking Water Grants,FY 23 Allotment memo for Tribal drinking water infrastructure funding programs,https://www.epa.gov/system/files/documents/2023-06/FY23_Allotment_Memo_Tribal_Final_June_2023.pdf
Implementation of EPA Water Technical Assistance (TA) (pdf),2023-03-24,2025-07-28,OW-OWM-3239,WaterTA,"This document provides direction on how the U.S. Environmental Protection Agency (EPA) Office of Water (OW) approaches providing water technical assistance (WaterTA) and supporting WaterTA provided by financial assistance recipients (recipients) to communities across the country. This document applies to Environmental Finance Centers and other recipients carrying out EPA funded WaterTA projects through grants or cooperative agreements. The funding at issue supports the provision of water technical assistance to communities and effective administration of the Clean Water Act (CWA), Safe Drinking Water Act (SDWA) and the Infrastructure Investment and Jobs Act (P.L. 117-58, Nov. 21, 2021) also known as the Bipartisan Infrastructure Law (BIL).",https://www.epa.gov/system/files/documents/2023-06/Signed_Final%20EPA%20WaterTA%20Guidance_March%202023.pdf
SUDC Allotment Memo  FY2022-FY2023 (pdf),2025-06-23,2025-07-16,OW-OGWDW-3066,Drinking Water Grants,Memo to grantees on distribution/allotment of grant funds for the fiscal year(s) noted,https://www.epa.gov/system/files/documents/2023-06/SUDC%20Grant%20Allotments%20for%20Fiscal%20Year%202022%20and%202023_0.pdf
Clean Water State Revolving Fund Emerging Contaminants Supplemental Appropriation Webinar  (pdf),2023-07-01,2025-07-28,OW-OWM-3196,CWSRF,Frequently asked questions for the CWSRF Emerging Contaminants Funding from  the Bipartisan Infrastructure Law,https://www.epa.gov/system/files/documents/2023-07/CWSRF%20EC%20Q%26A%20Jan%202023%20Webinar%20Final.pdf
Voluntary School and Child Care Lead Testing and Remediation Grant Program FY23 Implementation Document (pdf),2023-07-01,2025-07-16,OW-OGWDW-3081,Drinking Water Grants,"Provides information on the Voluntary School and Child Care Lead Testing and Remediation Grant Program, including how to apply, eligible applicants, and eligible activities.",https://www.epa.gov/system/files/documents/2023-07/Final_FY23_ImplementationDoc_VoluntarySchoolandChildCareLeadTestingReductionGrantProgram_508.pdf
Voluntary School and Child Care Lead Testing and Remediation Grant Program FY22/23 Allotment Memo (pdf),2023-07-21,2025-07-16,OW-OGWDW-3079,Drinking Water Grants,Memo to grantees on distribution/allotment of grant funds for the fiscal year(s) noted,https://www.epa.gov/system/files/documents/2023-07/School%20Lead%20Testing%20and%20Reduction%20AllotmentMemo-July%202023_Final_0.pdf
Safe Drinking Water Act Resilience Grants Factsheet (pdf),2023-10-01,2025-07-16,OW-OGWDW-3076,Drinking Water Grants,Factsheet that includes information on the Midsize and Large Drinking Water System Infrastructure Resilience and Sustainability Program and the Drinking Water System Infrastructure Resilience and Sustainability Program,https://www.epa.gov/system/files/documents/2023-07/UPDATED%20Resilience%20Grants%20Factsheet.pdf
Distribution System Water Quality Fact Sheet (pdf),8/00/2023,2025-07-28,OW-OGWDW-3211,PWS,"This fact sheet is part of EPA’s Distribution System Toolbox developed to summarize best management practices that public water systems (PWSs), particularly small systems, can use to maintain distribution system water quality and protect public health.",https://www.epa.gov/system/files/documents/2023-08/DS%20Toolbox%20Fact%20Sheets_Nitrification_508ed.pdf
Fact Sheet for the Final Rule: Amendments to the Revised Definition of “Waters of the United States” (pdf),2023-08-29,2025-07-24,OW-OWOW-3192,WOTUS,"Factsheet on the 2023 conforming rule that amended the definition of ""waters of the United States"" in response to Sackett",https://www.epa.gov/system/files/documents/2023-08/FINAL_WOTUSPublicFactSheet08292023.pdf
Achieving Greater Equity in the Nonpoint Source Program Through FY23 Section 319 Grant Allocations  (pdf),2023-03-08,2025-07-17,OW-OWOW-3165,319 Grant Guidance - Tribal,Outlines Tribal set -aside and changes in Tribal base grant allocation that superced 2011 CWA Section 319 guidance for Tribes receiving 319 grants.  This doc is based on 2 rounds of Tribal consultation and workgroup engagement. ,https://www.epa.gov/system/files/documents/2023-09/FY23%20319%20Allocation%20Memo%20to%20Grantees_signed.pdf 
Fact Sheet: Clean Water Act Section 401 Water Quality Certification Improvement Rule (pdf),2025-09-23,2025-07-17,OW-OWOW-3152,401,Overview of the 2023 Rule,https://www.epa.gov/system/files/documents/2023-09/One-Page%20Fact%20Sheet%20on%20the%20Final%202023%20Rule_508.pdf
Overview Fact Sheet: Clean Water Act Section 401 Water Quality Certification Improvement Rule (pdf),2025-09-23,2025-07-17,OW-OWOW-3151,401,Overview of the 2023 Rule,https://www.epa.gov/system/files/documents/2023-09/Overview%20Fact%20Sheet%20on%20the%20Final%202023%20Rule_508.pdf
Drinking Water System Infrastructure Resilience and Sustainability grant program RFA (pdf),2023-09-06,2025-07-16,OW-OGWDW-3075,Drinking Water Grants,"Provides information on the Drinking Water System Infrastructure Resilience and Sustainability Grant Program, including how to apply, eligible applicants, and eligible activities.",https://www.epa.gov/system/files/documents/2023-09/Resilience_RFA_508%20Compliant_8.23.pdf
America’s Water Infrastructure Act (AWIA) Section 2013 – Community Water System Risk and Resilience Assessments and Emergency Response Plans (pdf),2023-08-29,2025-07-28,OW-OGWDW-3237,AWIA,The purpose of this memorandum is to provide an overview of America’s Water Infrastructure Act (AWIA) Section 2013 and direct interested parties to EPA’s AWIA Section 2013 webpage for further resources on the topic.,https://www.epa.gov/system/files/documents/2023-09/wsg-218-AWIA-section-2013-memo-and-factsheet-FINAL-508.pdf
Frequently Asked Questions: Implementing the 2021 Recommended Clean Water Act Section 304(a) Ambient Water Quality Criteria to Address Nutrient Pollution in Lakes and Reservoirs (pdf),2023-10-01,2025-07-15,OW-OST-2986,Nutrients,"Q&A document supporting implementation of EPA's Ambient Water Quality Criteria to Address Nutrient Pollution in Lakes and Reservoirs (published in the FR on August 13, 2021).",https://www.epa.gov/system/files/documents/2023-10/faqs-implementing-lakes-reservoirs.pdf
Award and Implementation of the 2023 Drinking Water State Revolving Fund City of Jackson-Supplemental Appropriation (COJ-SA) (pdf),2023-05-24,2025-07-17,OW-OGWDW-3116,DWSRF,Allotment memo for COJ-SA,https://www.epa.gov/system/files/documents/2023-11/award-and-implementation-of-the-2023-dwsrf-city-of-jackson-supplemental-appropriation.pdf
Award and Implementation of the 2023 State Revolving Fund Supplemental Appropriation for Hurricanes Fiona and Ian (SAHFI) (pdf),2023-09-07,2025-07-17,OW-OGWDW-3115,DWSRF (and CWSRF),Allotment memo for SAHFI,https://www.epa.gov/system/files/documents/2023-11/award-and-implementation-of-the-2023-srf-supplemental-appropriation-for-hurricanes-fiona-and-ian.pdf
Reallotment of Fiscal Year 2022 Drinkign Water State Revolving Fund Bipartisan Infrastructure Law Funds (pdf),2023-11-28,2025-07-17,OW-OGWDW-3107,DWSRF,FY22 IIJA reallotments for LSLR and EC,https://www.epa.gov/system/files/documents/2023-11/fy22-bil-reallotment-memo-nov-2023.pdf
Draft Guidance: Applying the Supreme Court's County of Maui v Hawaii Wildlife Fund Decision in Section 402 National Pollutants Discharge Elimination System Discharges through Groundwater (pdf),2023-11-27,2025-07-16,OW-OWM-2983,NPDES ,The memo describes the standard in the Supreme Court decision for evaluating whether a discharge through groundwater needs NPDES permit coverage.,https://www.epa.gov/system/files/documents/2023-11/maui-draft-guidance.pdf
"Tribal and State Webinar: Updates for Tribes and States on ""Waters of the United States"" (pdf)",2023-11-15,2025-07-24,OW-OWOW-3191,WOTUS,"Training presentation that provides updates on the definition of ""waters of the United States"" in light of Sackett. [Note: The agencies have rescinded any components of this training that assumed a discrete feature established a continuous surface connection. In addition, as of September 23, 2024, the information presented in Slides 3, 8 and 10 of the recording and in Slides 8 and 10 of the presentation is no longer current, as the stay order that was applicable in Kentucky and for certain parties has been lifted.",https://www.epa.gov/system/files/documents/2023-11/wotus-overview_tribes-and-states_11-15-23_508.pdf
"Hydrant Sampler Procedure, EPA 815-B-23-012 (pdf)",2023-12-01,2025-07-14,OW-OGWDW-3051,Area-Wide Optimization Program,"This document presents a procedure for the use of a  hydrant sampler to enable system operators to sample water quality from a desired area of the distribution system, without accessing a residential or commercial tap.",https://www.epa.gov/system/files/documents/2023-12/epa-hydrant-sampler-procedure.pdf
Bipartisan Infrastructure Law (BIL) State Revolving Fund (SRF) Questions and Answers (pdf),2023-11-08,2025-07-28,OW-OWM-3200,"CWSRF, DWSRF",Frequently asked questions for funding from the Bipartisan Infrastructure Law,https://www.epa.gov/system/files/documents/2024-01/bil-srf-frequent-questions.pdf
